question,answer,course_codes,page_ref,clause_ref,note
วิชาแคลคูลัส 1 (CALCULUS 1) มีจำนวนหน่วยกิตเท่าไหร่ และเรียนในปี/ภาคการศึกษาใด,3(3-0-6) หน่วยกิต เรียนปี 1 ภาคการศึกษาที่ 1,06026200,17,-,
รหัสวิชา 06026203 คือวิชาอะไร และมีวิชาบังคับก่อนหรือไม่,การโปรแกรมคอมพิวเตอร์ (COMPUTER PROGRAMMING) ไม่มีวิชาบังคับก่อน,06026203,17,-,
วิชาการแก้ปัญหาและโปรแกรมคอมพิวเตอร์ (06066303) เป็นวิชาประเภทใด (บังคับ/เลือก) และมีกี่หน่วยกิต,เป็นวิชาบังคับ 3(2-2-5) หน่วยกิต,06066303,18,-,
ปี 1 ภาคการศึกษาที่ 1 ของหลักสูตร DSBA (แผนสหกิจ) มีวิชาอะไรบ้าง (เท่าที่ปรากฏใน ground truth),06026200 แคลคูลัส 1; 06026202 พีชคณิตเชิงเส้น; 06066101 พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ; 06066303 การแก้ปัญหาและโปรแกรมคอมพิวเตอร์; 90641001 โรงเรียนสร้างเสน่าห์; 90641003 กีฬาและนันทนาการ; 90644007 ภาษาอังกฤษพื้นฐาน 1,"06026200, 06026202, 06066101, 06066303, 90641001, 90641003, 90644007","16, 17, 18",-,"คำถามรวมหลายวิชา ตอบจากทุกวิชาที่ year=1, semester=1"
วิชาแคลคูลัส 1 (06026200) กับวิชาความน่าจะเป็นและสถิติ (06066001) มีจำนวนหน่วยกิตเท่ากันหรือไม่,เท่ากัน ทั้งสองวิชามี 3(3-0-6) หน่วยกิต,"06026200, 06066001",17,-,
วิชา 'พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ' มีชื่อภาษาอังกฤษว่าอะไร,"BUSINESS FUNDAMENTALS FOR INFORMATION
TECHNOLOGY",06066101,18,-,
วิชาความฉลาดทางดิจิทัล (90641002) อยู่ในกลุ่มวิชาประเภทใด และเรียนปี/ภาคใด,หมวดวิชาศึกษาทั่วไป เรียนปี 1 ภาคการศึกษาที่ 2,90641002,16,-,
วิชาแคลคูลัส 1 (06026200) อยู่ในหมวดวิชาใด และเป็นวิชาบังคับหรือเลือก,หมวดวิชาเฉพาะ เป็นวิชาบังคับ,06026200,17,-,
วิชาปัญญาประดิษฐ์ (06026216) เป็นวิชาบังคับหรือวิชาเลือก,เป็นวิชาเลือก (อยู่ในกลุ่มวิชาชีพเฉพาะด้าน ที่ต้องเลือกเก็บ 12 หน่วยกิตจากรายวิชาที่มีให้เลือกจำนวนมาก),06026216,19,-,
วิชาโรงเรียนสร้างเสน่ห์ (90641001) อยู่หมวดวิชาใด และสำหรับหลักสูตร DSBA เป็นวิชาบังคับหรือเลือก,หมวดวิชาศึกษาทั่วไป — สำหรับหลักสูตร DSBA ถูกกำหนดเป็นวิชาบังคับ (แม้ในเมนู GE ทั้งมหาวิทยาลัยจะเป็นวิชาเลือกก็ตาม),90641001,16,-,ตัวอย่างที่ type ขึ้นกับบริบทหลักสูตร ไม่ใช่ค่าตายตัวของวิชา
