program,plan,code,ocr_name_th,gt_name_th,ocr_note,gt_note,status,remark
IT,no_coop,06016418,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,กลุ่มวิชาด้านการพัฒนาซอฟต์แวร์,กลุ่มวิชาด้านสื่อประสมสำหรับการพัฒนาสื่อเชิงโต้ตอบ เว็บ และ เกม,mismatch,
IT,no_coop,06016481,สหกิจศึกษา,,เฉพาะโครงการเข้าร่วมสหกิจ,,gt_null,
IT,no_coop,"06016481
หรือ
06016482",,"สหกิจศึกษา
หรือ
สหกิจศึกษาต่างประเทศ",,เฉพาะเข้าร่วมโครงการสหกิจ,ocr_null,
IT,no_coop,06016482,สหกิจศึกษาต่างประเทศ,,เฉพาะโครงการเข้าร่วมสหกิจ,,gt_null,
IT,coop,06016418,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,กลุ่มวิชาด้านการพัฒนาซอฟต์แวร์,กลุ่มวิชาด้านสื่อประสมสำหรับการพัฒนาสื่อเชิงโต้ตอบ เว็บ และ เกม,mismatch,
IT,coop,06016481,สหกิจศึกษา,,เฉพาะโครงการเข้าร่วมสหกิจ,,gt_null,
IT,coop,06016482,สหกิจศึกษาต่างประเทศ,,เฉพาะโครงการเข้าร่วมสหกิจ,,gt_null,
IT,coop,90643021,ผู้ประกอบการสมัยใหม่,ผู้ประกอบการสมัยใหม่,,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),ocr_null,
DSBA,no_coop,90642033,กฎหมายสําหรับคนรุ่นใหม่,กฎหมายสำหรับคนรุ่นใหม่,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
DSBA,no_coop,90643021,ผู้ประกอบการสมัยใหม่,ผู้ประกอบการสมัยใหม่,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
DSBA,no_coop,90644042,การสื่อสารและการนําเสนออย่างมืออาชีพ,การสื่อสารและการนำเสนออย่างมืออาชีพ,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
DSBA,coop,90642033,กฎหมายสําหรับคนรุ่นใหม่,กฎหมายสำหรับคนรุ่นใหม่,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
DSBA,coop,90643021,ผู้ประกอบการสมัยใหม่,ผู้ประกอบการสมัยใหม่,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
DSBA,coop,90644042,การสื่อสารและการนําเสนออย่างมืออาชีพ,การสื่อสารและการนำเสนออย่างมืออาชีพ,กลุ่มวิชาตามเกณฑ่ของคณะ (Faculty requirement),กลุ่มวิชาที่กำหนดโดยคณะ,mismatch,
