pipeline,pages,matched,recall,precision,f1,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,30-32,19/90,21.1%,95.0%,0.345,รหัสวิชา,90,0.7923,,21.1%,0,580,0,71,732
text,30-32,19/90,21.1%,95.0%,0.345,ชื่อวิชา (ไทย) ⭐,90,0.8648,0.9309,13.3%,23,2364,6,71,2767
text,30-32,19/90,21.1%,95.0%,0.345,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0%,0,2659,0,90,2659
text,30-32,19/90,21.1%,95.0%,0.345,หน่วยกิต,90,0.8171,,21.1%,0,679,0,71,831
text,30-32,19/90,21.1%,95.0%,0.345,ปี/ภาค,90,0.7889,,21.1%,0,213,0,71,270
text,30-32,19/90,21.1%,95.0%,0.345,หมวดวิชา,90,1.0,,0.0%,0,1238,0,90,1238
text,30-32,19/90,21.1%,95.0%,0.345,บังคับ/เลือก,90,1.0,,0.0%,0,486,0,90,486
text,30-32,19/90,21.1%,95.0%,0.345,วิชาบังคับก่อน,19,0.7449,,26.3%,0,73,0,14,98
text,30-32,19/90,21.1%,95.0%,0.345,ปี/ภาคยืดหยุ่น,19,0.0,,100.0%,0,0,0,0,0
vlm,30-32,0/90,0.0%,0.0%,0.000,รหัสวิชา,90,1.0,,0.0%,0,732,0,90,732
vlm,30-32,0/90,0.0%,0.0%,0.000,ชื่อวิชา (ไทย) ⭐,90,1.0,1.0,0.0%,0,2767,0,90,2767
vlm,30-32,0/90,0.0%,0.0%,0.000,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0%,0,2659,0,90,2659
vlm,30-32,0/90,0.0%,0.0%,0.000,หน่วยกิต,90,1.0,,0.0%,0,831,0,90,831
vlm,30-32,0/90,0.0%,0.0%,0.000,ปี/ภาค,90,1.0,,0.0%,0,270,0,90,270
vlm,30-32,0/90,0.0%,0.0%,0.000,หมวดวิชา,90,1.0,,0.0%,0,1238,0,90,1238
vlm,30-32,0/90,0.0%,0.0%,0.000,บังคับ/เลือก,90,1.0,,0.0%,0,486,0,90,486
